Country,Mean Muscle Mass Index
Canada,22.2
Canada,21.9
Canada,22.0
Canada,21.8
Canada,22.1
Canada,21.7
Canada,22.2
Canada,21.9
Canada,22.0
Canada,21.8
Canada,22.1
Canada,21.7
Canada,22.2
Canada,21.9
Canada,22.0
Canada,21.8
Canada,22.1
Canada,21.7
Canada,22.2
Canada,21.9
Canada,22.0
Canada,21.8
Canada,22.1
Canada,21.7
Canada,22.2
Canada,21.9
Canada,22.0
Canada,21.8
Canada,22.1
Canada,21.7
Canada,22.2
Canada,21.9
Canada,22.0
Canada,21.8
Canada,22.1
Canada,21.7
Canada,22.2
Canada,21.9
Canada,22.0
Canada,21.8
Canada,22.1
Canada,21.7
Canada,22.2
Canada,21.9
Canada,22.0
Canada,21.8
Canada,22.1
Canada,21.7
Canada,22.2
Canada,21.9
Canada,22.0
Canada,21.8
Canada,22.1
Canada,21.7
Canada,22.2
Canada,21.9
Canada,22.0
Canada,21.8
Canada,22.1
Canada,21.7
Canada,22.2
Canada,21.9
Canada,22.0
Canada,21.8
Canada,22.1
Canada,21.7
Canada,22.2
Canada,21.9
Canada,22.0
Canada,21.8
Canada,22.1
Canada,21.7
Canada,22.2
Canada,21.9
Canada,22.0
Canada,21.8
Canada,22.1
Canada,21.7
Canada,22.2
Canada,21.9
Canada,22.0

UK,20.3
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4
UK,20.2
UK,20.5
UK,20.3
UK,20.6
UK,20.4

Germany,22.9
Germany,23.0
Germany,22.8
Germany,23.1
Germany,22.9
Germany,23.2
Germany,22.7
Germany,23.0
Germany,22.8
Germany,23.1
Germany,22.9
Germany,23.2
Germany,22.7
Germany,23.0
Germany,22.8
Germany,23.1
Germany,22.9
Germany,23.2
Germany,22.7
Germany,23.0
Germany,22.8
Germany,23.1
Germany,22.9
Germany,23.2
Germany,22.7
Germany,23.0
Germany,22.8
Germany,23.1
Germany,22.9
Germany,23.2
Germany,22.7
Germany,23.0
Germany,22.8
Germany,23.1
Germany,22.9
Germany,23.2
Germany,22.7
Germany,23.0
Germany,22.8
Germany,23.1
Germany,22.9
Germany,23.2
Germany,22.7
Germany,23.0
Germany,22.8
Germany,23.1
Germany,22.9
Germany,23.2
Germany,22.7
Germany,23.0
Germany,22.8
Germany,23.1
Germany,22.9
Germany,23.2
Germany,22.7
Germany,23.0
Germany,22.8
Germany,23.1
Germany,22.9
Germany,23.2
Germany,22.7
Germany,23.0
Germany,22.8
Germany,23.1
Germany,22.9
Germany,23.2
Germany,22.7
Germany,23.0
Germany,22.8
Germany,23.1
Germany,22.9
Germany,23.2
Germany,22.7
Germany,23.0
Germany,22.8
Germany,23.1
Germany,22.9
Germany,23.2
Germany,22.7
Germany,23.0
Germany,22.8
Germany,23.1
Germany,22.9
Germany,23.2
Germany,22.7
Germany,23.0
Germany,22.8
Germany,23.1
Germany,22.9
Germany,23.2
Germany,22.7
Germany,23.0
Germany,22.8
Germany,23.1
Germany,22.9
Germany,23.2
Germany,22.7

France,18.1
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2
France,18.0
France,18.3
France,18.1
France,18.4
France,18.2

Japan,27.8
Japan,27.9
Japan,27.7
Japan,28.0
Japan,27.8
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8
Japan,28.0
Japan,27.7
Japan,28.1
Japan,27.9
Japan,27.8

China,23.5
China,23.6
China,23.4
China,23.7
China,23.5
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6
China,23.5
China,23.7
China,23.4
China,23.8
China,23.6

India,32.1
India,32.2
India,32.0
India,32.3
India,32.1
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
India,32.3
India,32.0
India,32.4
India,32.2
India,32.1
Brazil,27.5
Brazil,27.8
Brazil,28.1
Brazil,28.4
Brazil,27.7
Brazil,27.9
Brazil,28.2
Brazil,28.5
Brazil,27.6
Brazil,27.9
Brazil,28.1
Brazil,28.4
Brazil,27.8
Brazil,27.7
Brazil,28.0
Brazil,28.3
Brazil,27.6
Brazil,27.9
Brazil,28.2
Brazil,28.5
Brazil,27.7
Brazil,27.8
Brazil,28.1
Brazil,28.4
Brazil,27.6
Brazil,27.9
Brazil,28.2
Brazil,28.5
Brazil,27.8
Brazil,27.7
Brazil,28.0
Brazil,28.3
Brazil,27.6
Brazil,27.9
Brazil,28.1
Brazil,28.4
Brazil,27.8
Brazil,27.7
Brazil,28.2
Brazil,28.5
Brazil,27.6
Brazil,27.9
Brazil,28.1
Brazil,28.4
Brazil,27.7
Brazil,27.8
Brazil,28.0
Brazil,28.3
Brazil,27.6
Brazil,27.9
Brazil,28.2
Brazil,28.5
Brazil,27.8
Brazil,27.7
Brazil,28.1
Brazil,28.4
Brazil,27.6
Brazil,27.9
Brazil,28.2
Brazil,28.5
Brazil,27.7
Brazil,27.8
Brazil,28.0
Brazil,28.3
Brazil,27.6
Brazil,27.9
Brazil,28.1
Brazil,28.4
Brazil,27.8
Brazil,27.7
Brazil,28.2
Brazil,28.5
Brazil,27.6
Brazil,27.9
Brazil,28.1
Brazil,28.4
Brazil,27.7
Brazil,27.8
Brazil,28.0
Brazil,28.3
Brazil,27.6
Brazil,27.9
Brazil,28.2
Brazil,28.5
Brazil,27.7
Brazil,27.8
Brazil,28.1
Brazil,28.4
Brazil,27.6
Brazil,27.9
Brazil,28.2
Brazil,28.5
Brazil,27.7
Brazil,27.8
Brazil,28.0
Brazil,28.3
Brazil,27.6
Brazil,27.9
Brazil,28.1
Brazil,28.4
Brazil,27.8
Brazil,27.7
Brazil,28.2
Brazil,28.5
Brazil,27.6
Brazil,27.9
Brazil,28.1
Brazil,28.4
Brazil,27.7
Brazil,27.8
Brazil,28.0
Brazil,28.3
Brazil,27.6
Brazil,27.9
Brazil,28.2
Brazil,28.5
Brazil,27.7
Brazil,27.8
Brazil,28.1
Brazil,28.4
Brazil,27.6
Brazil,27.9
Brazil,28.2
Brazil,28.5
Brazil,27.7
Brazil,27.8
Brazil,28.0
Brazil,28.3
Brazil,27.6
Brazil,27.9
Brazil,28.1
Brazil,28.4
Brazil,27.8
Brazil,27.7
Brazil,28.2
Brazil,28.5
Brazil,27.6
Brazil,27.9
Brazil,28.1
Brazil,28.4
Brazil,27.7
Brazil,27.8
Brazil,28.0
Brazil,28.3
Brazil,27.6
Brazil,27.9
Brazil,28.2
Brazil,28.5
Brazil,27.7
Brazil,27.8
Brazil,28.1
Brazil,28.4
Brazil,27.6
Brazil,27.9
Brazil,28.2
Brazil,28.5
Brazil,27.7
Brazil,27.8
Brazil,28.0
Brazil,28.3
