patient_id,survival_rate,treatment_complications,stomach_cancer_incidence,stomach_region
25,21,China,Xining City,8.6 (19.2)
13,22,China,Xinji City,6.1 (11.5)
18,27,China,Xinluo District, Longyan City,6.3 (36.6)
15,20,China,Xinzhou District, Shangrao City,1.6 (7.7)
8,18,China,Xiping County,2.7 (9.4)
23,12,China,Xishan District, Kunming City,7.0 (26.9)
11,15,China,Xuyi County,0.4 (4.3)
29,10,China,Ya’an City,10.2 (36.8)
9,22,China,Yakeshi City,0.8 (4.9)
14,25,China,Yancheng City,2.2 (10.2)
31,13,China,Yangquan City,15.8 (32.9)
25,20,China,Yangzhong City,11.0 (27.0)
40,16,China,Yanji City,30.8 (44.6)
7,21,China,Yanshi City,0.3 (1.7)
28,17,China,Yanting County,13.5 (46.8)
31,12,China,Yi’an District, Tongling City,28.4 (22.9)
20,15,China,Yingdong District, Fuyang City,5.8 (9.9)
34,7,Brazil,São Paulo,10.5 (20.3)
19,8,Brazil,Rio de Janeiro,8.7 (18.2)
45,3,Brazil,Brasília,12.3 (25.4)
22,12,Brazil,Belo Horizonte,7.9 (16.9)
10,5,Brazil,Porto Alegre,9.1 (22.0)
33,9,Brazil,Recife,6.4 (14.5)
28,11,Brazil,Salvador,11.2 (27.3)
15,6,Brazil,Curitiba,8.5 (19.0)
4,20,Brazil,Fortaleza,5.9 (12.8)
50,18,Brazil,Manaus,7.0 (15.7)
37,14,Brazil,Belém,6.7 (13.9)
25,19,Brazil,Goiânia,9.4 (21.5)
12,4,Brazil,Natal,10.8 (24.6)
8,17,Brazil,Maceió,7.1 (17.2)
46,21,Brazil,Campo Grande,6.3 (14.0)
21,10,Brazil,João Pessoa,5.8 (12.6)
30,15,Brazil,Teresina,8.2 (19.3)
9,16,Brazil,Aracaju,7.4 (15.8)
23,13,Brazil,São Luís,9.8 (22.8)
6,22,Brazil,Palmas,6.1 (13.5)
41,2,Brazil,Vitória,8.0 (17.4)

